,t
20,1.801152229
22,1.960779905
24,2.138278246
26,2.350680351
28,2.497345448
30,2.669855595
32,2.86334157
34,3.037865877
36,3.227364063
38,3.389934063
40,3.518580198
42,3.786864996
44,3.925498724
46,4.155874491
48,4.286529064
50,4.498960257
52,4.65753603
54,4.902885675
56,5.014580011
58,5.186116934
60,5.406532288
62,5.581069231
64,5.690766335
66,5.907726288
68,6.091729403
70,6.680125713
72,6.503562689
74,6.751452208
76,6.716061592
78,6.850666761
80,7.047137022
82,7.179791927
84,7.338327646
86,7.534836292
88,7.662530661
90,7.897862911
92,8.105312824
94,8.258895874
96,8.429443359
98,10.42606401
